Name,Phone,Distrib,Date,Bio,LatLong
Kirk,02 78 31 16 36,-0.380298223,02/16/2014,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","16.70225, -66.20068"
Melvin,09 36 00 35 38,-0.100724642,03/27/2014,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","37.66354, -132.24788"
Thaddeus,08 93 03 83 34,-0.081905823,01/24/2014,"Lorem ipsum dolor sit amet, consectetuer","-49.99879, 26.20779"
Baxter,03 82 35 69 43,-0.194817486,03/11/2013,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","45.57977, -178.96747"
Reuben,01 98 34 11 20,-0.171902047,08/12/2012,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","4.63383, -122.12188"
Conan,04 06 23 96 80,-0.24057448,01/06/2013,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","62.31906, 109.83258"
Paki,03 22 92 72 15,0.301207783,10/01/2013,Lorem ipsum dolor,"-71.31521, 27.10101"
Armand,04 65 58 86 80,0.458036554,04/24/2013,Lorem,"-86.6627, 67.07489"
Sebastian,06 22 68 06 78,-0.286724709,07/18/2013,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","-36.80949, 22.39814"
Alexander,02 82 81 43 44,-0.336791042,07/28/2013,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","-58.68195, -108.59439"
Caesar,01 39 89 88 96,-0.561919187,07/24/2013,"Lorem ipsum dolor sit amet, consectetuer","28.62585, -97.41161"
Chaney,08 10 97 87 79,-0.136298264,04/14/2014,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","24.82041, 48.94107"
Lamar,02 77 51 20 84,-0.113754261,12/17/2013,Lorem,"-56.43275, -99.13861"
Coby,04 81 27 08 22,0.094411105,01/29/2013,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","-28.8726, 80.89968"
Guy,04 61 24 81 34,0.165639284,09/23/2013,Lorem ipsum dolor sit,"-18.58046, -60.8949"
Brett,03 92 59 10 03,0.389360568,05/25/2014,"Lorem ipsum dolor sit amet,","3.14168, -79.5327"
Vincent,05 76 56 98 34,0.086435505,04/02/2013,Lorem ipsum dolor,"-2.31366, 93.93186"
Amos,06 45 46 99 90,0.155292531,10/06/2012,Lorem ipsum dolor,"44.49779, 107.74739"
Tiger,03 88 48 98 38,0.153606471,06/01/2013,Lorem ipsum dolor sit,"-5.68946, 97.00389"
Avram,06 96 58 09 00,0.323163596,05/26/2014,"Lorem ipsum dolor sit amet, consectetuer","-14.73784, 64.0566"
Kasper,06 01 50 15 20,0.139997541,08/22/2013,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","75.12573, -41.33502"
Caesar,09 30 92 48 55,-0.23500904,06/21/2014,Lorem ipsum dolor sit,"3.71457, 39.98527"
Kasper,02 94 29 42 40,0.374805001,11/18/2012,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","39.67198, -178.83414"
Jonah,03 45 40 84 99,-0.003364616,01/15/2014,"Lorem ipsum dolor sit amet,","80.55912, -11.69075"
Edward,01 35 41 19 57,-0.108569829,11/03/2012,Lorem ipsum,"-44.25666, -84.81351"
Jeremy,02 34 56 96 54,0.29354109,08/30/2013,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","-29.30009, 56.81357"
Aladdin,01 30 88 08 23,-0.387722083,08/14/2012,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","-81.23988, -81.48281"
Lester,08 47 03 37 58,0.413333836,08/02/2013,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","43.63956, 145.01831"
Tiger,03 45 20 17 91,0.093964523,01/13/2014,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","-26.37784, 136.31238"
Dennis,03 60 25 35 49,0.371094848,04/08/2013,"Lorem ipsum dolor sit amet,","-68.7784, 13.65429"
Seth,07 42 11 79 06,-0.255732115,06/18/2014,Lorem ipsum dolor sit,"-20.17656, -70.61772"
Hector,03 55 33 45 07,-0.10304658,09/24/2013,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","34.38671, -4.94774"
Odysseus,08 02 15 71 05,0.082379815,02/06/2014,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","26.85437, 64.32012"
